headline,sentiment
"Amazon's founder Jeff Bezos to step down as CEO, Andy Jassy to take over",Neutral
"WhatsApp Pay was possible because of India's UPI system, a first in the world: Mark Zuckerberg in conversation with Mukesh Ambani",Negative
FB-Jio will help digital platforms value creation in India: Mukesh Ambani in conversation with Mark Zuckerberg,Positive
Microsoft allows employees to work from home permanently,Neutral
"Instagram turns 10, launches new well-being features",Neutral
"Government plans launch of own app store as an alternative to Google, Apple",Neutral
Apple makes flagship iPhone 11 at Foxconn plant in India,Positive
CCI probes accusations that Google abused Android: Report,Negative
iPhone FaceTime bug lets callers eavesdrop,Neutral
India Economic Conclave 2018: Robot Sophia's favourite Indian celeb is Shah Rukh Khan,Neutral
Sundar Pichai to testify before US House on bias accusations,Negative
Facebook says 50 mn user accounts affected by security breach,Positive
Apple's mega launch event: What to expect,Neutral
We have asked WhatsApp to set up domestic entity in India and to have a grievances officer: Ravi Shankar Prasad,Negative
WhatsApp CEO on India visit this week amid fake news row,Negative
Google says Aadhaar helpline number 'inadvertently' coded into India Android setup,Positive
India finds just one mention in Apple earnings call amid poor iPhone sales,Negative
"Zuckerberg confident of 'getting things right' for Brazil, India, EU elections",Positive
WhatsApp tests new feature; unusual links to be marked 'suspicious',Neutral
Social media hub is like creating surveillance state: SC,Positive
"Brand Infosys will be ready, relevant for tomorrow: Nandan Nilekani at 37th AGM",Positive
India a core market; no plans on listing yet: Capgemini CEO,Negative
Infosys turns 25! Here is a look at tech giant's eventful journey,Neutral
Patanjali's Kimbho pulled down from app stores after hacker claims security flaws,Positive
Watch: Ravi Venkatesan quits as Infosys independent director,Neutral
"India important for Apple, putting lot of energy: Tim Cook",Positive
"Indian IT to clock 7-9% growth, domestic revenue to grow 10-12 % in FY19: Nasscom",Positive
WhatsApp rolls out P2P payments for select beta users,Neutral
CCI slaps Rs 136 crore fine on Google for 'infringing anti-trust conduct',Positive
Stay connected! TRAI releases recos on in-flight connectivity,Neutral
"'RCom 2.0' unveils GCX roadmap, to pump in $600 mn for new cable system",Neutral
Apple says 'sorry' for secretly slowing older iPhones,Neutral
"Google unveils a slew of India-first products, services",Neutral
Watch: Infosys boss Salil Parekh’s agenda,Neutral
Infosys names Salil Parekh as CEO and MD,Neutral
TRAI chief on 'path-breaking' recos on net neutrality,Neutral
Watch : Trai provides recommendations on net neutrality,Neutral
Interoperability will bring confidence in wallet users: MobiKwik's Bipin Preet Singh,Positive
WhatsApp rolls out video calling in India,Neutral
Startup central:India strategic to Airbnb,Neutral
"TCS breaks silence on layoffs, says 2,574 staffers asked to go",Neutral
Don't be afraid of technology disruption: Randi Zuckerberg,Negative
Apple opens development office in Hyderabad,Neutral
Exclusive: Microsoft CEO Satya Nadella unplugged,Positive
New Infosys CEO likely by Q3-end; Ashok Vemuri front-runner: Sources to ET Now,Neutral
Nilekani buys peace with Narayana Murthy?,Positive
Google celebrates 'surprises' on 19th birthday,Positive
"iPhone X goes hi-tech, introduces Face ID",Neutral
"iPhone 8 and 8 Plus announced with glass back, true tone display",Positive
Watch: New Apple TV announced with 4K HDR video,Neutral
Tim Cook announces new age Apple Watch,Neutral
Watch: What to expect from today's Apple event,Neutral
Seshasayee hits back at Infosys founder Murthy,Neutral
"IT industry going through transition, best days ahead: Cognizant CEO",Positive
Murthy spoke on behalf of shareholders: Ex-Infosys CFO Bala,Neutral
"Watch: Murthy says hurt with personal attack, defends role in boardroom feud",Negative
Watch: Narayana Murthy's investor concall on track,Neutral
"Watch: Infosys Board to focus on bringing stability, says Nilekani",Neutral
"The architect of Aadhaar, is set to return to Infosys",Neutral
Narayana Murthy defers concall with Infosys investors,Neutral
NRN Murthy to address Infosys investors tomorrow: Sources to ET Now,Neutral
Exclusive: Sachin Bansal on life after mega SoftBank funding,Positive
"Post Sikka's Infosys exit, NRN Murthy emphasises on fair corporate governance",Positive
Exclusive: NRN Murthy's 1st interview post Vishal Sikka exit,Positive
"Sikka logs out, Infosys investor wealth tanks by 30K crore",Positive
Vishal Sikka exits Infosys: The story so far,Neutral
"NRN Murthy refuses to back down, says problem is with governance at Infosys",Negative
"Vishal Sikka was shackled from Day 1, Infosys turnaround to be hit: D-Street reacts",Neutral
Why did Vishal Sikka quit? Resignation letter says it all,Negative
Harsh Goenka's reaction on Vishal Sikka resignátion as MD & CEO of Infosys,Negative
"Difficult to deal with continuous allegations, says Sikka",Negative
Infosys shares rally as IT major mulls buyback,Positive
Watch: SoftBank's Vision Fund invests big in Flipkart,Positive
"TRAI raps Apple for ""data colonisation""",Neutral
"Airtel ups ante against Jio, offering up to 1000 GB bonus data",Positive
Snapdeal approves Flipkart's $900-950 million takeover offer,Positive
Idea Cellular rallies 7% on CCI approval to Vodafone merger,Positive
Vishal Sikka showcases Infosys' indigenous 'driverless' cart,Neutral
Infosys eyes robotics  AI and driver less cars for next round of growth,Positive
Watch: TCS headcount drops by 1400 in Q1 of FY18,Neutral
Google awaiting RBI approval for UPI: NPCI chief,Positive
"Major technical glitch hits NSE! Cash, F&O trade crippled",Neutral
"Tatas, Bharti on a call to explore joint front in telecom and DTH",Neutral
Reliance Jio may disrupt market again with Rs 500 4G VoLTE handset,Neutral
Rejig on cards at Infosys?,Neutral
INFY: profit may take a hit,Positive
Infosys CEO Vishal Sikka plays down promoter sale buzz,Positive
Wipro becomes 1st Indian IT co to formally declare Trump as potential threat to business,Negative
Infosys founders looking to sell their stake in company,Neutral
"Apple launches iOS 11, macOS High Sierra, watchOS 4 and more",Neutral
IT industry has to decide on layoffs: Arvind Panagariya,Neutral
IT jobs can be saved if senior executives take pay cuts: Narayana Murthy,Positive
Infosys co-founder NR Narayana Murthy suggests ways to stop job losses,Negative
Working to upgrade product for international audience: Byju Raveendran,Neutral
"Flipkart, Snapdeal merger: Impact on consumers",Neutral
Infosys hands out a bounty to 4 top executives; payouts up 50%,Positive
"Paytm Payment Bank launches with zero min balance, cashback offers",Neutral
"Paytm raises $1.4 bn from Softbank, valuation jumps to over $8 bn",Neutral
Apple to start shipping India-made iPhones this month,Neutral
Chennai labour commissioner takes stocks of Cognizant layoffs,Neutral
Paytm Payments Bank to launch next week,Neutral
"Price war impacting all telcos: Rajan Mathews, DG, COAI",Negative
Vebbler: The photo app for groups,Neutral
Amazon summer sale concludes! Prime sees massive demand,Positive
Vendors' association seeks stay on Snapdeal sale till dues are paid,Neutral
"Now jobs losses at IBM India, 5,000 employees under fire",Negative
StartUp Central: Biggest cyber attack in the world,Negative
Sellers request government to hold sale of Snapdeal,Neutral
No serious impact in India due to ransomware: Govt,Negative
Discounts are back: Decoding Flipkart’s Big 10 sale,Neutral
"Xiaomi opens its first Mi Home in India, plans 100 more in 2 years",Neutral
It’s raining discounts: Amazon Great Indian sales start,Positive
Vijay Shekhar Sharma on Paytm's roadmap for growth,Positive
"Cognizant layoffs: Telangana labour dept meets management, employees",Neutral
Watch: Big layoffs in Indian IT sector,Neutral
Job cuts across IT space: Employees look for help from govt,Positive
Apple becomes first US firm to touch $800 bn valuation,Neutral
"Infosys may ask over 1,000 senior, mid-level employees to leave",Negative
India has huge capability in terms of startups: Werner Vogels,Positive
Warren Buffett’s take on technology sector,Neutral
"BPL parts ways with Flipkart, to sell products on Amazon",Positive
Ola raises Rs 670 crore from Ratan Tata-backed fund,Neutral
Uber launches food delivery app UberEats in India,Neutral
MakeMyTrip raises $330 million in fresh funding,Positive
"Apple delivers higher profits, but iPhone sales slip",Positive
StartUp Central: Inside Tech Mahindra's lab,Neutral
Snapdeal Board meeting ends with no deal,Negative
Department of Telecom launches 'Tarang Sanchar' portal,Neutral
"H-1B effect: Infosys to hire 10,000 US workers",Neutral
"Twitter, Bloomberg team up for streaming news channel",Neutral
StartUp Central: Why Karnataka govt funds startups?,Neutral
StartUp Central: HasGeek's focus this year,Neutral
E-commerce battle: Amazon inches closer to Flipkart,Negative
Stayzilla co-founder Sachit Singhi granted anticipatory bail,Positive
"Paytm starts gold biz, eyes broader wealth mgmt play",Positive
We see budgets happening in the area of digital technologies: Ravi Pandit,Neutral
200 teams battle it out at Rajasthan govt’s hackathon,Negative
Technology education to take off in India,Neutral
StartUp Central: Meet Flipkart's one day CEO,Neutral
LinkedIn crosses 500 mn milestone; India has 42 mn users,Neutral
US accuses Infosys and TCS of cheating in H-1B lottery,Negative
How Flipkart keeps its employees happy?,Positive
StartUp Central: TAMO bets big on robotics,Neutral
StartUp Central: IFC remains bullish on India,Neutral
"Innovate to reap awards, says Amazon's Amit Agarwal",Positive
Our next main focus is building community: Zuckerberg,Neutral
NASSCOM cos back efforts to root out abuses of H-1B system,Negative
Snapchat CEO Evan Spiegel's only chat in India,Neutral
Amicus Curiae: Flipkart's mega fund raise,Neutral
Bharti Airtel challenges Rel Jio's offer in TDSAT,Positive
Bharti Airtel launches internet TV set-top box,Neutral
"Flipkart acquisition will bring new opportunities, capabilities: Binny Bansal",Positive
Jio's 'Dhan Dhana Dhan' offer: 1GB data per day with unlimited calling for 84 days,Neutral
Global IT spending to grow 1.4% in 2017: Gartner,Neutral
Flipkart acquires eBay India,Neutral
Trai tells Reliance Jio to withdraw Summer Surprise offer,Positive
Twitter launches ‘Lite’ mobile web app for India,Neutral
H-1B policy memo to have little impact on Indian IT industry: Nasscom,Neutral
SC refers WhatsApp privacy policy matter to Constitution bench,Neutral
COO pay hike row: Infosys justifies decision,Negative
Reliance Jio to launch cable services by year end,Neutral
What to do if your UIDAI data is leaked online?,Negative
Amazon unfazed by Flipkart-Snapdeal deal talks,Positive
Few takers for Reliance Jio prime offer,Neutral
Indian digital market is fiercely competitive: Shane Smith,Positive
GBS 2017: Lei Jun talks about Xiaomi success story,Positive
Yahoo's Mobile India study: Phablets a big hit in India,Neutral
